ID;Modèle ;Marque;Mémoire ROM (Go);Taille écran (pouces);Prix (CHF);OS;Autonomie (h);Image (URL);RAM(Gb);Poids(g);Capacité de la battrie(mAh);CPU(chipset);GPU;Date de sortie
1;Pixel 7 Pro;Google ;128;6.7;694;Android 13;17.23;https://fdn2.gsmarena.com/vv/bigpic/google-pixel7-pro-new.jpg;8;212;5000;Google Tensor G2;Mali G710 MP7;2022-10-13
2;Pixel 7;Google ;128;6.30;526;Android 13;19.75;https://fdn2.gsmarena.com/vv/bigpic/google-pixel7-new.jpg;8;197;4355;Google Tensor G2;Mali G710 MP7;2022-10-13
3;Pixel 6A;Google ;128;6.1;283;Android 12;19.98;https://fdn2.gsmarena.com/vv/bigpic/google-pixel-6a.jpg;6;178;4410;Google Tensor ;Mali G78 MP20;2022-07-21
4;iPhone 14;Apple;128;6.1;709;IOS 16;18.46;https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-14.jpg;6;172;3279;A15 Bionic;Apple GPU 5core;2022-09-16
5;iPhone 14 Pro;Apple;256;6.1;1259;IOS 16;17.30;https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-14-pro.jpg;6;206;3200;A16 Bionic;Apple GPU 5core;2022-09-16
6;iPhone 14 Pro Max;Apple;512;6.7;1577;IOS 16;24.63;https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-14-pro-max-.jpg;6;240;4323;A16 Bionic;Apple GPU 5core;2022-09-16
7;iPhone 13 Pro;Apple;128;6.1;999;IOS 15;18.33;https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-13-pro.jpg;6;204;3095;A15 Bionic;Apple GPU 5core;2021-09-24
8;iPhone 13;Apple;128;6.1;649;IOS 15;16.83;https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-13.jpg;4;174;3240;A15 Bionic;Apple GPU 5core;2021-09-24
9; Xiaomi 12S Ultra;Xiomi;256;6.73;920;Android 12;16.26;https://fdn2.gsmarena.com/vv/bigpic/xiaomi-12s-ultra.jpg;8;225;4860;Snapdragon 8+ Gen1;Adreno 730;2022-07-09
10;Xiaomi 12S Pro;Xiomi;128;6.67;670;Android 12;14.45;https://fdn2.gsmarena.com/vv/pics/xiaomi/xiaomi-12s-pro-1.jpg;8;203;4600;Snapdragon 8+ Gen1;Adreno 730;2022-07-07
11;Xiaomi Redmi note 11;Xiomi;64;6.43;170;Android 13;20.86;https://fdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-note-11-global.jpg;4;179;5000;Snapdragon 680 4G;Adreno 610;2022-02-09
12;Xiaomi Mi 11 Lite;Xiomi;64;6.55;297;Android 11;14.38;https://fdn2.gsmarena.com/vv/bigpic/xiaomi-mi-11-lite-4g.jpg;4;157;4250;Snapdragon 732G;Adreno 618;2021-04-16
13;ONEPLUS 10T;Oneplus;128;6.7;419;Android 12;17.40;https://fdn2.gsmarena.com/vv/bigpic/oneplus-10t-5g.jpg;8;204;4800;Snapdragon 8+ Gen1;Adreno 730;2022-08-06
14;OnePlus 11;Oneplus;128;6.7;645;Android 13;19.00;https://fdn.gsmarena.com/vv/bigpic/oneplus-11.jpg;8;205;5000;Snapdragon 8 Gen2;Adreno 740;2023-01-09
